Date Confirmed Deaths Recovered Active
2020-01-22 0 0 0 0
2020-01-23 0 0 0 0
2020-01-24 0 0 0 0
2020-01-25 0 0 0 0
2020-01-26 0 0 0 0
2020-01-27 0 0 0 0
2020-01-28 0 0 0 0
2020-01-29 0 0 0 0
2020-01-30 0 0 0 0
2020-01-31 0 0 0 0
2020-02-01 0 0 0 0
2020-02-02 0 0 0 0
2020-02-03 0 0 0 0
2020-02-04 0 0 0 0
2020-02-05 0 0 0 0
2020-02-06 0 0 0 0
2020-02-07 0 0 0 0
2020-02-08 0 0 0 0
2020-02-09 0 0 0 0
2020-02-10 0 0 0 0
2020-02-11 0 0 0 0
2020-02-12 0 0 0 0
2020-02-13 0 0 0 0
2020-02-14 0 0 0 0
2020-02-15 0 0 0 0
2020-02-16 0 0 0 0
2020-02-17 0 0 0 0
2020-02-18 0 0 0 0
2020-02-19 0 0 0 0
2020-02-20 0 0 0 0
2020-02-21 0 0 0 0
2020-02-22 0 0 0 0
2020-02-23 0 0 0 0
2020-02-24 0 0 0 0
2020-02-25 0 0 0 0
2020-02-26 0 0 0 0
2020-02-27 0 0 0 0
2020-02-28 0 0 0 0
2020-02-29 0 0 0 0
2020-03-01 0 0 0 0
2020-03-02 0 0 0 0
2020-03-03 0 0 0 0
2020-03-04 0 0 0 0
2020-03-05 0 0 0 0
2020-03-06 0 0 0 0
2020-03-07 0 0 0 0
2020-03-08 0 0 0 0
2020-03-09 0 0 0 0
2020-03-10 0 0 0 0
2020-03-11 2 0 0 2
2020-03-12 2 0 0 2
2020-03-13 3 0 0 3
2020-03-14 10 0 0 10
2020-03-15 10 0 0 10
2020-03-16 11 0 0 11
2020-03-17 11 0 0 11
2020-03-18 12 0 0 12
2020-03-19 12 0 0 12
2020-03-20 15 0 0 15
2020-03-21 19 0 0 19
2020-03-22 24 0 0 24
2020-03-23 27 0 0 27
2020-03-24 29 0 0 29
2020-03-25 32 0 0 32
2020-03-26 43 0 0 43
2020-03-27 61 0 0 61
2020-03-28 74 0 0 74
2020-03-29 81 1 0 80
2020-03-30 97 4 0 93
2020-03-31 107 6 0 101
2020-04-01 115 7 1 107
2020-04-02 123 8 1 114
2020-04-03 132 9 1 122
