Date Confirmed Deaths Recovered Active
2020-01-22 0 0 0 0
2020-01-23 0 0 0 0
2020-01-24 0 0 0 0
2020-01-25 0 0 0 0
2020-01-26 0 0 0 0
2020-01-27 0 0 0 0
2020-01-28 0 0 0 0
2020-01-29 0 0 0 0
2020-01-30 0 0 0 0
2020-01-31 0 0 0 0
2020-02-01 0 0 0 0
2020-02-02 0 0 0 0
2020-02-03 0 0 0 0
2020-02-04 0 0 0 0
2020-02-05 0 0 0 0
2020-02-06 0 0 0 0
2020-02-07 0 0 0 0
2020-02-08 0 0 0 0
2020-02-09 0 0 0 0
2020-02-10 0 0 0 0
2020-02-11 0 0 0 0
2020-02-12 0 0 0 0
2020-02-13 0 0 0 0
2020-02-14 0 0 0 0
2020-02-15 0 0 0 0
2020-02-16 0 0 0 0
2020-02-17 0 0 0 0
2020-02-18 0 0 0 0
2020-02-19 0 0 0 0
2020-02-20 0 0 0 0
2020-02-21 0 0 0 0
2020-02-22 0 0 0 0
2020-02-23 0 0 0 0
2020-02-24 0 0 0 0
2020-02-25 0 0 0 0
2020-02-26 1 0 0 1
2020-02-27 1 0 0 1
2020-02-28 1 0 0 1
2020-02-29 2 0 0 2
2020-03-01 2 0 0 2
2020-03-02 2 0 0 2
2020-03-03 2 0 0 2
2020-03-04 4 0 0 4
2020-03-05 4 0 0 4
2020-03-06 13 0 0 13
2020-03-07 13 0 0 13
2020-03-08 20 0 0 20
2020-03-09 25 0 0 25
2020-03-10 31 0 0 31
2020-03-11 38 0 0 38
2020-03-12 52 0 0 52
2020-03-13 151 0 0 151
2020-03-14 151 0 0 151
2020-03-15 162 0 0 162
2020-03-16 200 0 1 199
2020-03-17 321 1 2 318
2020-03-18 372 3 2 367
2020-03-19 621 6 2 613
2020-03-20 793 11 2 780
2020-03-21 1021 15 2 1004
2020-03-22 1546 25 2 1519
2020-03-23 1924 34 2 1888
2020-03-24 2247 46 2 2199
2020-03-25 2554 59 2 2493
2020-03-26 2985 77 6 2902
2020-03-27 3417 92 6 3319
2020-03-28 3904 111 6 3787
2020-03-29 4256 136 6 4114
2020-03-30 4579 159 120 4300
2020-03-31 5717 201 127 5389
2020-04-01 6836 240 127 6469
